Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
199,EICHERMOT,INE066A01021,5x,5x,5x
200,GMMPFAUDLR,INE541A01023,5x,5x,5x
201,KIRLPNU,INE811A01020,5x,5x,5x
202,NESCO,INE317F01035,5x,5x,5x
203,TEXINFRA,INE435C01024,5x,5x,5x
204,WENDT,INE274C01019,5x,5x,5x
205,RESPONIND,INE688D01026,5x,5x,5x
206,WESTLIFE,INE274F01020,5x,5x,5x
207,ZEEL,INE256A01028,5x,5x,5x
208,ELECON,INE205B01031,5x,5x,5x
209,GRAUWEIL,INE266D01021,5x,5x,5x
210,HERCULES,INE688E01024,5x,5x,5x
211,FMGOETZE,INE529A01010,5x,5x,5x
212,SCHAEFFLER,INE513A01022,5x,5x,5x
213,RANEHOLDIN,INE384A01010,5x,5x,5x
214,KENNAMET,INE717A01029,5x,5x,5x
215,GRINDWELL,INE536A01023,5x,5x,5x
216,GENESYS,INE727B01026,5x,5x,5x
217,BLISSGVS,INE416D01022,5x,5x,5x
218,STYRENIX,INE189B01011,5x,5x,5x
219,ALEMBICLTD,INE426A01027,5x,5x,5x
220,BAYERCROP,INE462A01022,5x,5x,5x
221,HEUBACHIND,INE492A01029,5x,5x,5x
222,COROMANDEL,INE169A01031,5x,5x,5x
223,DEEPAKNTR,INE288B01029,5x,5x,5x
224,DMCC,INE505A01010,5x,5x,5x
225,GOCLCORP,INE077F01035,5x,5x,5x
226,KANORICHEM,INE138C01024,5x,5x,5x
227,PCBL,INE602A01031,5x,5x,5x
228,PUNJABCHEM,INE277B01014,5x,5x,5x
229,SADHNANIQ,INE888C01040,5x,5x,5x
230,SUDARSCHEM,INE659A01023,5x,5x,5x
231,UNICHEMLAB,INE351A01035,5x,5x,5x
232,ALKYLAMINE,INE150B01039,5x,5x,5x
233,ASTRAZEN,INE203A01020,5x,5x,5x
234,JBCHEPHARM,INE572A01036,5x,5x,5x
235,TI,INE133E01013,5x,5x,5x
236,GMBREW,INE075D01018,5x,5x,5x
237,RANASUG,INE625B01014,5x,5x,5x
238,ASALCBR,INE073G01016,5x,5x,5x
239,FOODSIN,INE976E01023,5x,5x,5x
240,WIPRO,INE075A01022,5x,5x,5x
241,DHANUKA,INE435G01025,5x,5x,5x
242,TTKHLTCARE,INE910C01018,5x,5x,5x
243,JAGSNPHARM,INE048B01027,5x,5x,5x
244,KHAICHEM,INE745B01028,5x,5x,5x
245,GILLETTE,INE322A01010,5x,5x,5x
246,VIPIND,INE054A01027,5x,5x,5x
247,COSMOFIRST,INE757A01017,5x,5x,5x
248,APOLLOHOSP,INE437A01024,5x,5x,5x
249,EVERESTIND,INE295A01018,5x,5x,5x
250,NAVNETEDUL,INE060A01024,5x,5x,5x
251,GUFICBIO,INE742B01025,5x,5x,5x
252,PTL,INE034D01049,5x,5x,5x
253,TVSSRICHAK,INE421C01016,5x,5x,5x
254,BERGEPAINT,INE463A01038,5x,5x,5x
255,GRAPHITE,INE371A01025,5x,5x,5x
256,GARFIBRES,INE276A01018,5x,5x,5x
257,HEG,INE545A01024,5x,5x,5x
258,HINDCOMPOS,INE310C01029,5x,5x,5x
259,HIL,INE557A01011,5x,5x,5x
260,JAYSREETEA,INE364A01020,5x,5x,5x
261,HUHTAMAKI,INE275B01026,5x,5x,5x
262,SHALPAINTS,INE849C01026,5x,5x,5x
263,SUPREMEIND,INE195A01028,5x,5x,5x
264,VSTIND,INE710A01016,5x,5x,5x
265,SATINDLTD,INE065D01027,5x,5x,5x
266,CANFINHOME,INE477A01020,5x,5x,5x
267,SHRIRAMFIN,INE721A01013,5x,5x,5x
268,VLSFINANCE,INE709A01018,5x,5x,5x
269,VAKRANGEE,INE051B01021,5x,5x,5x
270,ARIHANTCAP,INE420B01036,5x,5x,5x
271,GICHSGFIN,INE289B01019,5x,5x,5x
272,UGROCAP,INE583D01011,5x,5x,5x
273,MUTHOOTCAP,INE296G01013,5x,5x,5x
274,UPL,INE628A01036,5x,5x,5x
275,SUNTECK,INE805D01034,5x,5x,5x
276,LLOYDSME,INE281B01032,5x,5x,5x
277,SEQUENT,INE807F01027,5x,5x,5x
278,STCINDIA,INE655A01013,5x,5x,5x
279,AVANTIFEED,INE871C01038,5x,5x,5x
280,ADANIENT,INE423A01024,2x,2x,2x
281,NAVA,INE725A01022,5x,5x,5x
282,SBCL,INE386D01027,5x,5x,5x
283,GANDHITUBE,INE524B01027,5x,5x,5x
284,PENIND,INE932A01024,5x,5x,5x
285,SSWL,INE802C01033,5x,5x,5x
286,AJMERA,INE298G01027,5x,5x,5x
287,CARBORUNIV,INE120A01034,5x,5x,5x
288,STEELCAS,INE124E01020,5x,5x,5x
289,PITTIENG,INE450D01021,5x,5x,5x
290,HINDCOPPER,INE531E01026,5x,5x,5x
291,NLCINDIA,INE589A01014,5X,5X,5X
292,HIMATSEIDE,INE049A01027,5x,5x,5x
293,BSL,INE594B01012,5x,5x,5x
294,WELSPUNLIV,INE192B01031,5x,5x,5x
295,GANECOS,INE845D01014,5x,5x,5x
296,SANGAMIND,INE495C01010,5x,5x,5x
297,ASAHIINDIA,INE439A01020,5x,5x,5x
298,ANANTRAJ,INE242C01024,5x,5x,5x
299,STARPAPER,INE733A01018,5x,5x,5x
300,ARROWGREEN,INE570D01018,5x,5x,5x
301,VISHNU,INE270I01022,5x,5x,5x
302,VINDHYATEL,INE707A01012,5x,5x,5x
303,ADORWELD,INE045A01017,5x,5x,5x
304,USHAMART,INE228A01035,5x,5x,5x
305,SUBROS,INE287B01021,5x,5x,5x
306,HONAUT,INE671A01010,5x,5x,5x
307,LUMAXIND,INE162B01018,5x,5x,5x
308,MOTHERSON,INE775A08105,5x,5x,5x
309,HAVELLS,INE176B01034,5x,5x,5x
310,IGARASHI,INE188B01013,5x,5x,5x
311,SYMPHONY,INE225D01027,5x,5x,5x
312,BUTTERFLY,INE295F01017,5x,5x,5x
313,ROTO,INE535D01037,5x,5x,5x
314,TTKPRESTIG,INE690A01028,5x,5x,5x
315,RAJRATAN,INE451D01029,5x,5x,5x
316,ONWARDTEC,INE229A01017,5x,5x,5x
317,KEI,INE878B01027,5x,5x,5x
318,TASTYBITE,INE488B01017,5x,5x,5x
319,AVTNPL,INE488D01021,5x,5x,5x
320,HNDFDS,INE254N01026,5x,5x,5x
321,NAHARINDUS,INE289A01011,5x,5x,5x
322,VADILALIND,INE694D01016,5x,5x,5x
323,ADFFOODS,INE982B01027,5x,5x,5x
324,CCL,INE421D01022,5x,5x,5x
325,KELLTONTEC,INE164B01022,5x,5x,5x
326,RICOAUTO,INE209B01025,5x,5x,5x
327,MUNJALSHOW,INE577A01027,5x,5x,5x
328,JAMNAAUTO,INE039C01032,5x,5x,5x
329,TVSHLTD,INE105A01035,5x,5x,5x
330,JTEKTINDIA,INE643A01035,5x,5x,5x
331,RATNAMANI,INE703B01027,5x,5x,5x
332,VESUVIUS,INE386A01015,5x,5x,5x
333,TRANSWORLD,INE757B01015,5x,5x,5x
334,TRIDENT,INE064C01022,5x,5x,5x
335,ALOKINDS,INE270A01029,5x,5x,5x
336,SILINV,INE923A01015,5x,5x,5x
337,KITEX,INE602G01020,5x,5x,5x
338,WINDMACHIN,INE052A01021,5x,5x,5x
339,SHANTIGEAR,INE631A01022,5x,5x,5x
340,HONDAPOWER,INE634A01018,5x,5x,5x
341,ELGIEQUIP,INE285A01027,5x,5x,5x
342,TIMKEN,INE325A01013,5x,5x,5x
343,PRAJIND,INE074A01025,5x,5x,5x
344,HLEGLAS,INE461D01028,5x,5x,5x
345,MMFL,INE227C01017,5x,5x,5x
346,MAYURUNIQ,INE040D01038,5x,5x,5x
347,RAMRAT,INE207E01023,5x,5x,5x
348,JAYNECOIND,INE854B01010,5x,5x,5x
349,KPIL,INE220B01022,5x,5x,5x
350,CONTROLPR,INE663B01015,5x,5x,5x
351,SAFARI,INE429E01023,5x,5x,5x
352,KOKUYOCMLN,INE760A01029,5x,5x,5x
353,VENKEYS,INE398A01010,5x,5x,5x
354,TCPLPACK,INE822C01015,5x,5x,5x
355,BALMLAWRIE,INE164A01016,5x,5x,5x
356,KOVAI,INE177F01017,5x,5x,5x
357,ELDEHSG,INE668G01021,5x,5x,5x
358,DCMSHRIRAM,INE499A01024,5x,5x,5x
359,DCMSRIND,INE843D01027,5x,5x,5x
360,MAWANASUG,INE636A01039,5x,5x,5x
361,NILKAMAL,INE310A01015,5x,5x,5x
362,3MINDIA,INE470A01017,5x,5x,5x
363,JCHAC,INE782A01015,5x,5x,5x
364,JMFINANCIL,INE780C01023,5x,5x,5x
365,RIIL,INE046A01015,5x,5x,5x
366,LINDEINDIA,INE473A01011,5x,5x,5x
367,PRECWIRE,INE372C01037,5x,5x,5x
368,SCI,INE109A01011,5x,5x,5x
369,ITI,INE248A01017,5x,5x,5x
370,NFL,INE870D01012,5x,5x,5x
371,PIIND,INE603J01030,5x,5x,5x
372,PLASTIBLEN,INE083C01022,5x,5x,5x
373,APCOTEXIND,INE116A01032,5x,5x,5x
374,MASTEK,INE759A01021,5x,5x,5x
375,ASHIANA,INE365D01021,5x,5x,5x
376,MAZDA,INE885E01034,5x,5x,5x
377,MENONBE,INE071D01033,5x,5x,5x
378,POONAWALLA,INE511C01022,5x,5x,5x
379,KINGFA,INE473D01015,5x,5x,5x
380,POLYPLEX,INE633B01018,5x,5x,5x
381,CARYSIL,INE482D01024,5x,5x,5x
382,KABRAEXTRU,INE900B01029,5x,5x,5x
383,VINYLINDIA,INE250B01029,5x,5x,5x
384,IOLCP,INE485C01011,5x,5x,5x
385,VINATIORGA,INE410B01037,5x,5x,5x
386,AARTIIND,INE769A01020,5x,5x,5x
387,GAEL,INE036B01030,5x,5x,5x
388,RCF,INE027A01015,5x,5x,5x
389,KOPRAN,INE082A01010,5x,5x,5x
390,INDOBORAX,INE803D01021,5x,5x,5x
391,AARTIDRUGS,INE767A01016,5x,5x,5x
392,BODALCHEM,INE338D01028,5x,5x,5x
393,VIMTALABS,INE579C01029,5x,5x,5x
394,SYNCOMF,INE312C01025,5x,5x,5x
395,IPCALAB,INE571A01038,5x,5x,5x
396,NEULANDLAB,INE794A01010,5x,5x,5x
397,INDOAMIN,INE760F01028,5x,5x,5x
398,SOTL,INE035D01020,5x,5x,5x
399,HESTERBIO,INE782E01017,5x,5x,5x
400,NACLIND,INE295D01020,5x,5x,5x
401,SUNPHARMA,INE044A01036,5x,5x,5x
402,HIKAL,INE475B01022,5x,5x,5x
403,CAPLIPOINT,INE475E01026,5x,5x,5x
404,NGLFINE,INE887E01022,5x,5x,5x
405,AUROPHARMA,INE406A01037,5x,5x,5x
406,NATCOPHARM,INE987B01026,5x,5x,5x
407,PANAMAPET,INE305C01029,5x,5x,5x
408,ANDREWYU,INE449C01025,5x,5x,5x
409,FILATEX,INE816B01035,5x,5x,5x
410,MOLDTECH,INE835B01035,5x,5x,5x
411,MPHASIS,INE356A01018,5x,5x,5x
412,NMDC,INE584A01023,5x,5x,5x
413,KRITI,INE479D01038,5x,5x,5x
414,SANGHIIND,INE999B01013,5x,5x,5x
415,BLUEDART,INE233B01017,5x,5x,5x
416,MIRZAINT,INE771A01026,5x,5x,5x
417,SANDESH,INE583B01015,5x,5x,5x
418,GOLDIAM,INE025B01025,5x,5x,5x
419,GREENPLY,INE461C01038,5x,5x,5x
420,SEAMECLTD,INE497B01018,5x,5x,5x
421,CHEVIOT,INE974B01016,5x,5x,5x
422,CONFIPET,INE552D01024,5x,5x,5x
423,LAOPALA,INE059D01020,5x,5x,5x
424,STYLAMIND,INE239C01020,5x,5x,5x
425,GUJALKALI,INE186A01019,5x,5x,5x
426,INDIACEM,INE383A01012,5x,5x,5x
427,JKTYRE,INE573A01042,5x,5x,5x
428,JUBLPHARMA,INE700A01033,5x,5x,5x
429,CSLFINANCE,INE718F01018,5x,5x,5x
430,SELAN,INE818A01017,5x,5x,5x
431,FAZE3Q,INE963C01033,5x,5x,5x
432,PRIVISCL,INE959A01019,5x,5x,5x
433,OPTIEMUS,INE350C01017,5x,5x,5x
434,SUVEN,INE495B01038,5x,5x,5x
435,CLSEL,INE419D01026,5x,5x,5x
436,UGARSUGAR,INE071E01023,5x,5x,5x
437,ORIENTBELL,INE607D01018,5x,5x,5x
438,RELAXO,INE131B01039,5x,5x,5x
439,SHILPAMED,INE790G01031,5x,5x,5x
440,GOODLUCK,INE127I01024,5x,5x,5x
441,STERTOOLS,INE334A01023,5x,5x,5x
442,BHAGERIA,INE354C01027,5x,5x,5x
443,KRBL,INE001B01026,5x,5x,5x
444,CHEMBOND,INE995D01025,5x,5x,5x
445,IOC,INE242A01010,5x,5x,5x
446,BALAMINES,INE050E01027,5x,5x,5x
447,MEDICAMEQ,INE646B01010,5x,5x,5x
448,ALICON,INE062D01024,5x,5x,5x
449,EMAMILTD,INE548C01032,5x,5x,5x
450,ARMANFIN,INE109C01017,5x,5x,5x
451,NUCLEUS,INE096B01018,5x,5x,5x
452,MANAPPURAM,INE522D01027,5x,5x,5x
453,LINC,INE802B01019,5x,5x,5x
454,VSTTILLERS,INE764D01017,5x,5x,5x
455,ZYDUSWELL,INE768C01010,5x,5x,5x
456,CONCOR,INE111A01025,5x,5x,5x
457,PANACEABIO,INE922B01023,5x,5x,5x
458,CHOICEIN,INE102B01014,5x,5x,5x
459,TNPL,INE107A01015,5x,5x,5x
460,GRMOVER,INE192H01020,5x,5x,5x
461,RAJESHEXPO,INE343B01030,5x,5x,5x
462,EVEREADY,INE128A01029,5x,5x,5x
463,HATSUN,INE473B01035,5x,5x,5x
464,SOMANYCERA,INE355A01028,5x,5x,5x
465,CGCL,INE180C01042,5x,5x,5x
466,FDC,INE258B01022,5x,5x,5x
467,LINCOLN,INE405C01035,5x,5x,5x
468,MARICO,INE196A01026,5x,5x,5x
469,VIDHIING,INE632C01026,5x,5x,5x
470,BHAGCHEM,INE414D01027,5x,5x,5x
471,APOLLOPIPE,INE126J01016,5x,5x,5x
472,POLYMED,INE205C01021,5x,5x,5x
473,AGARIND,INE204E01012,5x,5x,5x
474,AMBIKCO,INE540G01014,5x,5x,5x
475,BANKBARODA,INE028A01039,5x,5x,5x
476,ACL,INE666E01020,5x,5x,5x
477,SKMEGGPROD,INE411D01015,5x,5x,5x
478,WELCORP,INE191B01025,5x,5x,5x
479,BANKINDIA,INE084A01016,5x,5x,5x
480,GAIL,INE129A01019,5x,5x,5x
481,VAIBHAVGBL,INE884A01027,5x,5x,5x
482,JKPAPER,INE789E01012,5x,5x,5x
483,SAREGAMA,INE979A01025,5x,5x,5x
484,CYBERTECH,INE214A01019,5x,5x,5x
485,ICICIBANK,INE090A01021,5x,5x,5x
486,CYIENT,INE136B01020,5x,5x,5x
487,ENGINERSIN,INE510A01028,5x,5x,5x
488,GMDCLTD,INE131A01031,5x,5x,5x
489,INDUSINDBK,INE095A01012,5x,5x,5x
490,J&KBANK,INE168A01041,5x,5x,5x
491,CUB,INE491A01021,5x,5x,5x
492,AXISBANK,INE238A01034,5x,5x,5x
493,SONATSOFTW,INE269A01021,5x,5x,5x
494,NATIONALUM,INE139A01034,5x,5x,5x
495,INDNIPPON,INE092B01025,5x,5x,5x
496,NSIL,INE023A01030,5x,5x,5x
497,APARINDS,INE372A01015,5x,5x,5x
498,ACCELYA,INE793A01012,5x,5x,5x
499,HCLTECH,INE860A01027,5x,5x,5x
500,GEOJITFSL,INE007B01023,5x,5x,5x
501,JINDALSTEL,INE749A01030,5x,5x,5x
502,GLENMARK,INE935A01035,5x,5x,5x
503,MAHLIFE,INE813A01018,5x,5x,5x
504,ZYDUSLIFE,INE010B01027,5x,5x,5x
505,AJANTPHARM,INE031B01049,5x,5x,5x
506,TVSMOTOR,INE494B01023,5x,5x,5x
507,ACLGATI,INE152B01027,5x,5x,5x
508,SUBEXLTD,INE754A01055,5x,5x,5x
509,TCI,INE688A01022,5x,5x,5x
510,AKSHOPTFBR,INE523B01011,5x,5x,5x
511,TRIVENI,INE256C01024,5x,5x,5x
512,PNBGILTS,INE859A01011,5x,5x,5x
513,RAMCOIND,INE614A01028,5x,5x,5x
514,TTML,INE517B01013,5x,5x,5x
