Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
1084,INFOBEAN,INE344S01016,5x,5x,5x
1085,FUSION,INE139R01012,5x,5x,5x
1086,BIKAJI,INE00E101023,5x,5x,5x
1087,MEDANTA,INE474Q01031,5x,5x,5x
1088,ACI,INE128X01021,5x,5x,5x
1089,FIVESTAR,INE128S01021,5x,5x,5x
1090,KAYNES,INE918Z01012,5x,5x,5x
1091,HDFCNIFIT,INF179KC1IA8,5x,5x,5x
1092,HDFCPVTBAN,INF179KC1HZ7,5x,5x,5x
1093,INOXGREEN,INE510W01014,5x,5x,5x
1094,RUSTOMJEE,INE263M01029,5x,5x,5x
1095,FINIETF,INF109KC17L8,5x,5x,5x
1096,SIRCA,INE792Z01011,5x,5x,5x
1097,DHARMAJ,INE00OQ01016,5x,5x,5x
1098,UNIPARTS,INE244O01017,5x,5x,5x
1099,EBBETF0433,INF754K01QX0,5x,5x,5x
1100,COMMOIETF,INF109KC19O8,5x,5x,5x
1101,SULA,INE142Q01026,5x,5x,5x
1102,AHL,INE00ZE01026,5x,5x,5x
1103,LANDMARK,INE559R01029,5x,5x,5x
1104,KFINTECH,INE138Y01010,5x,5x,5x
1105,ELIN,INE050401020,5x,5x,5x
1106,RADIANTCMS,INE855R01021,5x,5x,5x
1107,BANKETFADD,INF740KA1RX3,5x,5x,5x
1108,AARTIPHARM,INE0LRU01027,5x,5x,5x
1109,NSLNISP,INE0NNS01018,5x,5x,5x
1110,HDFCBSE500,INF179KC1EZ4,5x,5x,5x
1111,HDFCSML250,INF179KC1FB2,5x,5x,5x
1112,HDFCMID150,INF179KC1HT0,5x,5x,5x
1113,GOLDETF,INF769K01JP9,5x,5x,5x
1114,DIVGIITTS,INE753U01022,5x,5x,5x
1115,ABSLLIQUID,INF209KB18T9,5x,5x,5x
1116,PSUBNKIETF,INF109KC10S8,5x,5x,5x
1117,AXSENSEX,INF846K010Q0,5x,5x,5x
1118,LOWVOL,INF769K01JU9,5x,5x,5x
1119,GSEC10YEAR,INF769K01KF8,5x,5x,5x
1120,AVALON,INE0LCL01028,5x,5x,5x
1121,SILVERETF,INF789F1AYK6,5x,5x,5x
1122,GOLDETFADD,INF740KA1SW3,5x,5x,5x
1123,MANKIND,INE634S01028,5x,5x,5x
1124,SIGMA,INE0A0S01010,5x,5x,5x
1125,GHCLTEXTIL,INE0PA801013,5x,5x,5x
1126,SILVRETF,INF769K01KG6,5x,5x,5x
1127,IKIO,INE0LOJ01019,5x,5x,5x
1128,HMAAGRO,INE0ECP01024,5x,5x,5x
1129,IDEAFORGE,INE349Y01013,5x,5x,5x
1130,CYIENTDLM,INE055S01018,5x,5x,5x
1131,ITETFADD,INF740KA1SX1,5x,5x,5x
1132,SENCO,INE602W01019,5x,5x,5x
1133,JIOFIN,INE758E01017,5x,5x,5x
1134,UTKARSHBNK,INE735W01017,5x,5x,5x
1135,BANKETF,INF769K01KR3,5x,5x,5x
1136,LIQUID,INF769K01KS1,5x,5x,5x
1137,SENSEXADD,INF740KA1SZ6,5x,5x,5x
1138,PSUBANKADD,INF740KA1SY9,5x,5x,5x
1139,PVTBANKADD,INF740KA1TA7,5x,5x,5x
1140,YATHARTH,INE0JO301016,5x,5x,5x
1141,NIITMTS,INE342G01023,5x,5x,5x
1142,ATL,INE0NN701020,5x,5x,5x
1143,TREL,INE0O3901029,5x,5x,5x
1144,QUAL30IETF,INF109KC18V5,5x,5x,5x
1145,REDTAPE,INE0LXT01019,5x,5x,5x
1146,SBFC,INE423Y01016,5x,5x,5x
1147,CONCORDBIO,INE338H01029,5x,5x,5x
1148,DPWIRES,INE864X01013,5x,5x,5x
1149,TVSSCS,INE395N01027,5x,5x,5x
1150,AEROFLEX,INE024001021,5x,5x,5x
1151,VPRPL,INE0AE001013,5x,5x,5x
1152,NIFMID150,INF789F1AYX9,5x,5x,5x
1153,RISHABH,INE0N2P01017,5x,5x,5x
1154,JLHL,INE682M01012,5x,5x,5x
1155,RRKABEL,INE777K01022,5x,5x,5x
1156,SAMHI,INE08U801020,5x,5x,5x
1157,ZAGGLE,INE07K301024,5x,5x,5x
1158,NUVAMA,INE531F01015,5x,5x,5x
1159,KALAMANDIR,INE438K01021,5x,5x,5x
1160,SIGNATURE,INE903U01023,5x,5x,5x
1161,JSWINFRA,INE880J01026,5x,5x,5x
1162,SENSEXETF,INF769K01KT9,5x,5x,5x
1163,IRMENERGY,INE07U701015,5x,5x,5x
1164,ALPHAETF,INF769K01KU7,5x,5x,5x
1165,BLUEJET,INE0KBH01020,5x,5x,5x
1166,CELLO,INE0LMW01024,5x,5x,5x
1167,FEDFINA,INE007N01010,5x,5x,5x
1168,TATATECH,INE142M01025,5x,5x,5x
1169,GANDHAR,INE717W01049,5x,5x,5x
1170,SENSEXIETF,INF346A01034,5x,5x,5x
1171,TATAMTRDVR,IN9155A01020,5x,5x,5x
1172,KARURVYSYA,INE036D01028,5x,5x,5x
1173,VEEDOL,INE484C01030,5x,5x,5x
1174,AMRUTANJAN,INE098F01031,5x,5x,5x
1175,XPROINDIA,INE445C01015,5x,5x,5x
1176,BHARATRAS,INE838B01013,5x,5x,5x
1177,SPIC,INE147A01011,5x,5x,5x
1178,DENORA,INE244A01016,5x,5x,5x
1179,ANDHRSUGAR,INE715B01021,5x,5x,5x
1180,IMPAL,INE547E01014,5x,5x,5x
1181,KCP,INE805C01028,5x,5x,5x
1182,SUNDARMFIN,INE660A01013,5x,5x,5x
1183,WHEELS,INE715A01015,5x,5x,5x
1184,MAITHANALL,INE683C01011,5x,5x,5x
1185,ORISSAMINE,INE725E01024,5x,5x,5x
1186,GOLDBEES,INF204KB17I5,5x,5x,5x
1187,LIQUIDBEES,INF732E01037,5x,5x,5x
1188,GOLD1,INF174KA1HJ8,5x,5x,5x
1189,QGOLDHALF,INF082J01408,5x,5x,5x
1190,GOLDSHARE,INF789F1AUX7,5x,5x,5x
1191,NIFTYBEES,INF204KB14I2,5x,5x,5x
1192,JUNIORBEES,INF732E01045,5x,5x,5x
1193,BANKBEES,INF204KB15I9,5x,5x,5x
1194,PSUBANK,INF373I01023,5x,5x,5x
1195,PSUBNKBEES,INF204KB16I7,5x,5x,5x
1196,SHARIABEES,INF732E01128,5x,5x,5x
1197,QNIFTY,INF082J01028,5x,5x,5x
1198,HNGSNGBEES,INF204KB19I1,5x,5x,5x
1199,MOM50,INF247L01536,5x,5x,5x
1200,MADRASFERT,INE414A01015,5x,5x,5x
1201,BANKNIFTY1,INF174K01F59,5x,5x,5x
1202,SETFNIFBK,INF200KA1580,5x,5x,5x
1203,SETFNIF2x,INF5x0KA1FS1,5x,5x,5x
1204,AXISBNKETF,INF846K01X63,5x,5x,5x
1205,CONS,INF174KA1JE5,5x,5x,5x
1206,MNC,INF174KA1JF2,5x,5x,5x
1207,AXISILVER,INF846K011K1,5x,5x,5x
1208,SDL24BEES,INF204KB18W4,5x,5x,5x
1209,NV20,INF174K01Z71,5x,5x,5x
1210,NPBET,INF277K010X4,5x,5x,5x
1211,SILVER1,INF174KA1KU9,5x,5x,5x
1212,LIQUID1,INF174KA1LV5,5x,5x,5x
1213,SETFGOLD,INF200KA16D8,5x,5x,5x
1214,SETF10GILT,INF200KA1JT1,5x,5x,5x
1215,LTGILTBEES,INF204KB1882,5x,5x,5x
1216,IDFNIFTYET,INF194KA1U07,5x,5x,5x
1217,ITBEES,INF204KB15V2,5x,5x,5x
1218,MONIFTY500,INF247L01BU1,5x,5x,5x
1219,BSE,INE118H01025,5x,5x,5x
1220,CDSL,INE736A01011,5x,5x,5x
1221,AXISNIFTY,INF846K01W98,5x,5x,5x
1222,IVZINNIFTY,INF205K01DA9,5x,5x,5x
1223,CONSUMBEES,INF204KA1LD7,5x,5x,5x
1224,IT,INF174KA1GC5,5x,5x,5x
1225,DIVOPPBEES,INF204KA1MS3,5x,5x,5x
1226,SDL26BEES,INF204KC1022,5x,5x,5x
1227,GILT5YBEES,INF204KC1030,5x,5x,5x
1228,AXISBPSETF,INF846K01Z04,5x,5x,5x
1229,PHARMABEES,INF204KC1089,5x,5x,5x
1230,SBIETFCON,INF200KA1X17,5x,5x,5x
1231,LICNETFGSC,INF767K01MV5,5x,5x,5x
1232,SBIETFQLTY,INF200KA1WX6,5x,5x,5x
1233,SBIETFPB,INF200KA1S22,5x,5x,5x
1234,SETFNN2x,INF5x0KA1598,5x,5x,5x
1235,SBIETFIT,INF200KA1S14,5x,5x,5x
1236,ALPHA,INF174KA1IA5,5x,5x,5x
1237,NETF,INF277K015R5,5x,5x,5x
1238,AUTOBEES,INF204KC1337,5x,5x,5x
1239,MIDCAP,INF174KA1IB3,5x,5x,5x
1240,SILVERBEES,INF204KC1402,5x,5x,5x
1241,MID12xBEES,INF5x4KB1V68,5x,5x,5x
1242,LOWVOL1,INF174KA1IY5,5x,5x,5x
1243,TNIDETF,INF277KA1364,5x,5x,5x
1244,NV5xBEES,INF5x4KB18I3,5x,5x,5x
1245,AARON,INE721Z01010,5x,5x,5x
1246,BANSALWIRE,INE0B9K01025,5x,5x,5x
1247,BCONCEPTS,INE977Y01011,5x,5x,5x
1248,EMCURE,INE168P01015,5x,5x,5x
1249,FOCUS,INE593W01028,5x,5x,5x
1250,GOKULAGRO,INE314T01025,5x,5x,5x
1251,JSFB,INE953L01027,5x,5x,5x
1252,MIDSMALL,INF769K01LJ8,5x,5x,5x
1253,NDRAUTO,INE07OG01012,5x,5x,5x
1254,SIGNPOST,INE0KGZ01021,5x,5x,5x
1255,SUNCLAY,INE0Q3R01026,5x,5x,5x
1256,TBOTEK,INE673O01025,5x,5x,5x
1257,UMAEXPORTS,INE0GIU01018,5x,5x,5x
1258,BOMDYEING,INE032A01023,5x,5x,5x
1259,ARVIND,INE034A01011,5x,5x,5x
1260,ELECTCAST,INE086A01029,5x,5x,5x
1261,LORDSCHLO,INE846D01012,5x,5x,5x
1262,SURYAROSNI,INE335A01020,5x,5x,5x
1263,SWANENERGY,INE665A01038,5x,5x,5x
1264,GABRIEL,INE524A01029,5x,5x,5x
1265,ITDCEM,INE686A01026,5x,5x,5x
1266,HBLPOWER,INE292B01021,5x,5x,5x
1267,ICIL,INE483B01026,5x,5x,5x
1268,MARKSANS,INE750C01026,5x,5x,5x
1269,SOUTHBANK,INE683A01023,5x,5x,5x
1270,VOLTAMP,INE540H01012,5x,5x,5x
1271,TIMETECHNO,INE508G01029,5x,5x,5x
1272,KIRLOSENG,INE146L01010,5x,5x,5x
1273,WONDERLA,INE066O01014,5x,5x,5x
1274,ANANDRATHI,INE463V01026,5x,5x,5x
1275,EMUDHRA,INE01QM01018,5x,5x,5x
1276,IFCI,INE039A01010,3x,,
1277,MTNL,INE153A01019,5x,5x,5x
1278,DIAMINESQ,INE591D01014,2x,,
1279,KAKATCEM,INE437B01014,2x,,
1280,LYKALABS,INE933A01014,2x,,
1281,TOKYOPLAST,INE932C01012,2x,,
1282,PASUPTAC,INE818B01023,2x,,
1283,HARRMALAYA,INE544A01019,2x,,
1284,TATAINVEST,INE672A01018,5x,5x,5x
1285,MOTOGENFIN,INE861B01023,2x,,
1286,KESORAMIND,INE087A01019,5x,5x,5x
1287,RELCHEMQ,INE750D01016,2x,,
1288,BBL,INE464A01036,5x,5x,5x
1289,WSI,INE100D01014,2x,,
1290,BHARATGEAR,INE561C01019,2x,,
1291,SAKHTISUG,INE623A01011,3x,,
1292,SDBL,INE480C01038,5x,5x,5x
1293,KANPRPLA,INE694E01014,2x,,
1294,INDIANCARD,INE061A01014,2x,,
1295,INTLCONV,INE575C01027,5x,5x,5x
1296,SHIVATEX,INE705C01020,2x,,
1297,SIGIND,INE529F01035,2x,,
1298,BHANDARI,INE474E01029,2x,,
1299,ORBTEXP,INE231G01010,2x,,
1300,MMTC,INE123F01029,5x,5x,5x
1301,TTL,INE592B01016,2x,,
1302,PIONEEREMB,INE156C01018,2x,,
1303,PREMIERPOL,INE309M01020,2x,,
1304,APCL,INE071F01012,2x,,
1305,MARALOVER,INE882A01013,2x,,
1306,NAGREEKEXP,INE123B01028,2x,,
1307,SURYALAXMI,INE713B01026,2x,,
1308,UNIDT,INE961D01019,2x,,
1309,SUPERHOUSE,INE712B01010,2x,,
1310,WATERBASE,INE054C01015,2x,,
1311,RAMAPHO,INE809A01024,2x,,
1312,JAYAGROGN,INE785A01026,2x,,
1313,BIOFILCHEM,INE829A01014,2x,,
1314,SUKHJITS,INE450E01029,2x,,
1315,PODDARMENT,INE371C01013,2x,,
1316,AKSHARCHEM,INE542B01011,2x,,
1317,BALPHARMA,INE083D01012,2x,,
1318,TFCILTD,INE305A01015,5x,5x,5x
1319,KAMATHOTEL,INE967C01018,3x,,
1320,BANARBEADS,INE655B01011,2x,,
1321,MANGCHEFER,INE558B01017,3x,,
1322,GENUSPOWER,INE955D01029,5x,5x,5x
1323,PATELENG,INE244B01030,3x,,
1324,CORALFINAC,INE558D01021,2x,,
1325,COMPUSOFT,INE453B01029,2x,,
1326,COMPINFO,INE070C01037,2x,,
1327,JPASSOCIAT,INE455F01025,2x,,
1328,GULFPETRO,INE586G01017,5x,5x,5x
1329,JBMA,INE927D01044,5x,5x,5x
1330,JINDALPHOT,INE796G01012,2x,,
1331,IIFL,INE530B01024,5x,5x,5x
1332,MANGALAM,INE584F01014,2x,,
1333,NDL,INE875G01048,2x,,
1334,SPLIL,INE978G01016,2x,,
1335,SOBHA,INE671H01015,5x,5x,5x
1336,RUCHIRA,INE803H01014,2x,,
1337,SAHYADRI,INE280H01015,2x,,
1338,HILTON,INE788H01017,2x,,
1339,DELTACORP,INE124G01033,5x,5x,5x
1340,ASAHISONG,INE228I01012,2x,,
1341,ADSL,INE102I01027,2x,,
1342,PPAP,INE095I01015,2x,,
1343,IRB,INE821I01022,5x,5x,5x
1344,NAHARCAP,INE049I01012,2x,,
1345,ALKALI,INE773I01017,2x,,
1346,ADANIPOWER,INE814H01011,2x,2x,2x
1347,DBREALTY,INE879I01012,5x,5x,5x
1348,EMMBI,INE753K01015,5x,5x,5x
1349,ISFT,INE566K01011,2x,,
1350,KCPSUGIND,INE790B01024,2x,,
1351,EROSMEDIA,INE416L01017,2x,,
1352,TEXRAIL,INE621L01012,5x,5x,5x
1353,DHUNINV,INE320L01011,2x,,
1354,LOVABLE,INE597L01014,2x,,
1355,NBCC,INE095N01031,3x,,
1356,ZUARI,INE840M01016,2x,,
1357,JPOLYINVST,INE147P01019,2x,,
1358,VISHAL,INE755Q01025,2x,,
1359,DTIL,INE341R01014,2x,,
1360,INOXWIND,INE066P01011,5x,5x,5x
1361,INFIBEAM,INE483S01020,5x,5x,5x
1362,LANCER,INE359U01028,2x,,
1363,NINSYS,INE395U01014,2x,,
1364,NAGAFERT,INE454M01024,2x,,
1365,SGIL,INE00QT01015,5x,5x,5x
1366,SBC,INE04AK01028,5x,5x,5x
1367,SWSOLAR,INE00M201021,5x,5x,5x
1368,VINEETLAB,INE505Y01010,2x,,
1369,PAYTM,INE982J01020,5x,5x,5x
1370,DEVIT,INE060X01026,5x,5x,5x
1371,AVROIND,INE652Z01017,2x,,
1372,BBTCL,INE01EE01011,2x,,
1373,SAH,INE035801013,2x,,
1374,KAMOPAINTS,INE0BTI01037,2x,,
1375,PAVNAIND,INE07S101020,2x,,
1376,PYRAMID,INE0MIS01010,5x,5x,5x
1377,EMSLIMITED,INE0OV601013,3x,,
1378,SOUTHWEST,INE980Y01015,2x,,
1379,HONASA,INE0J5401028,5x,5x,5x
1380,DOMS,INE321T01012,5x,5x,5x
1381,MUTHOOTMF,INE046W01019,5x,5x,5x
1382,HAPPYFORGE,INE330T01021,5x,5x,5x
1383,JYOTICNC,INE980O01024,5x,5x,5x
1384,LIQUIDCASE,INF0R8F01034,5x,5x,5x
1385,EPACK,INE0G5901015,2x,,
1386,BLSE,INE0NLT01010,5x,5x,5x
1387,RPTECH,INE0J1F01024,5x,5x,5x
1388,ENTERO,INE010601016,5x,5x,5x
1389,JUNIPER,INE696F01016,5x,5x,5x
1390,SMALLCAP,INF769K01LC3,5x,5x,5x
1391,GPTHEALTH,INE486R01017,5x,5x,5x
1392,PLATIND,INE0PT501018,5x,5x,5x
1393,MUKKA,INE0CG401037,5x,5x,5x
1394,RKSWAMY,INE0NQ801033,5x,5x,5x
1395,JGCHEM,INE0MB501011,5x,5x,5x
1396,PVSL,INE772T01024,5x,5x,5x
1397,KRYSTAL,INE0QN801017,5x,5x,5x
1398,HISARMETAL,INE598C01011,2x,,
1399,LAMBODHARA,INE112F01022,2x,,
1400,GEEKAYWIRE,INE669X01024,2x,,
1401,CHOLAFIN,INE121A08PJ0,5x,5x,5x
1402,EGOLD,INF754K01SE6,2x,,
1403,MOREALTY,INF247L01CI4,2x,,
1404,AMBALALSA,INE432A01017,1x,,
1405,ANDHRAPET,INE714B01016,1x,,
1406,UTIQUE,INE096A01010,1x,,
1407,ARUNAHTEL,INE957C01019,1x,,
1408,ASIANHOTNR,INE363A01022,1x,,
1409,BAJAJHIND,INE306A01021,5x,5x,5x
1410,FORCEMOT,INE451A01017,1x,,
1411,BANCOINDIA,INE213C01025,5x,5x,5x
1412,DISAQ,INE131C01011,1x,,
1413,QUESTCAP,INE418C01012,1x,,
1414,CENTEXT,INE281A01026,1x,,
1415,ELANTAS,INE280B01018,1x,,
1416,COCKERILL,INE515A01019,1x,,
1417,METROGLOBL,INE085D01033,1x,,
1418,GOODRICKE,INE300A01016,1x,,
1419,GTNINDS,INE537A01013,1x,,
1420,HCC,INE549A01026,5x,5x,5x
1421,PRAGBOS,INE962B01011,1x,,
1422,HLVLTD,INE102A01024,5x,5x,5x
1423,MARGOFIN,INE680B01019,1x,,
1424,ITHL,INE262B01016,1x,,
1425,KSL,INE907A01026,5x,5x,5x
1426,KGDENIM,INE104A01012,1x,,
1427,KINETICENG,INE266B01017,1x,,
1428,KIRLOSBROS,INE732A01036,5x,5x,5x
1429,MAJESAUT,INE201B01022,1x,,
1430,BARODARY,INE461A01024,1x,,
1431,MIRCELECTR,INE831A01028,1x,,
1432,SPICEJET,INE285B01017,1x,,
1433,NIRLON,INE910A01012,1x,,
1434,PILITA,INE600A01035,1x,,
1435,PUNJCOMMU,INE609A01010,1x,,
1436,RAJSREESUG,INE562B01019,1x,,
1437,RAMANEWS,INE278B01020,1x,,
1438,WELSPLSOL,INE731F01037,1x,,
1439,RUBFILA,INE642C01025,1x,,
1440,THOMASCOOK,INE332A01027,5x,5x,5x
1441,TIMEX,INE064A01026,1x,,
1442,TRANSCHEM,INE019B01010,1x,,
1443,HOCL,INE048A01011,1x,,
1444,UCAL,INE139B01016,1x,,
1445,GRWRHITECH,INE291A01017,5x,5x,5x
1446,ZUARIIND,INE217A01012,5x,5x,5x
1447,INDPRUD,INE620D01011,1x,,
1448,PRISMX,INE286N01028,1x,,
1449,WHBRADY,INE855A01019,1x,,
1450,SHAILY,INE151G01028,5x,5x,5x
1451,COASTCORP,INE377E01016,1x,,
1452,GLOBOFFS,INE446C01013,1x,,
1453,ASIIL,INE443A01030,1x,,
1454,MANGLMCEM,INE347A01017,5x,5x,5x
1455,SAURASHCEM,INE626A01014,5x,5x,5x
1456,NILACHAL,INE416N01013,1x,,
1457,FORBESCO,INE518A01013,1x,,
1458,HPCOTTON,INE950C01014,1x,,
1459,UNITEDINT,INE706D01018,1x,,
1460,KATRSPG,INE498G01015,1x,,
1461,LAKSHMIMIL,INE938C01019,1x,,
1462,SIMPLXREA,INE167H01014,1x,,
1463,VICTMILL,INE203D01016,1x,,
1464,ZSVARAJT,INE406N01014,1x,,
1465,ZODIACVEN,INE945J01027,1x,,
1466,VEERENRGY,INE255E01030,1x,,
1467,TILAK,INE026L01022,1x,,
1468,KKFIN,INE2x9J01013,1x,,
1469,WAGEND,INE786K01023,1x,,
1470,MEDIAONE,INE828I01019,1x,,
1471,MODWOOL,INE380D01012,1x,,
1472,MODIPON,INE170C01019,1x,,
1473,SHRIDINE,INE204C01024,1x,,
1474,SWADPOL,INE243N01029,1x,,
1475,ELPROINTL,INE579B01039,1x,,
1476,NIPPOBATRY,INE567A01028,1x,,
1477,INDOKEM,INE716F01012,1x,,
1478,PANAENERG,INE795A01017,1x,,
1479,PERMAGN,INE418E01018,1x,,
1480,HIGHENE,INE783E01023,1x,,
1481,DELTAMAGNT,INE393A01011,1x,,
1482,RELTD,INE206N01018,1x,,
1483,NYSSACORP,INE812K01027,1x,,
1484,FLOMIC,INE952M01019,1x,,
1485,KRISHNA,INE537L01010,1x,,
1486,UNIABEXAL,INE361D01012,1x,,
1487,BGWTATO,INE106G01014,1x,,
1488,BOMBWIR,INE089T01023,1x,,
1489,INVPRECQ,INE155E01016,1x,,
1490,KAIRA,INE375D01012,1x,,
1491,ORIENTCER,INE569C01020,1x,,
1492,NATIONSTD,INE166R01015,1x,,
1493,DUNCANENG,INE340F01011,1x,,
1494,SANDUMA,INE149K01016,1x,,
1495,STOVACQ,INE755D01015,1x,,
1496,ACGL,INE451C01013,1x,,
1497,TALBROAUTO,INE187D01029,5x,5x,5x
1498,ZFSTEERING,INE116C01012,1x,,
1499,SMLISUZU,INE294B01019,5x,5x,5x
1500,ALFREDHE,INE782D01027,1x,,
1501,VELJAN,INE232E01013,1x,,
1502,DYNAMATECH,INE221B01012,5x,5x,5x
1503,GGDPROP,INE631D01026,1x,,
1504,KPT,INE731D01024,1x,,
1505,INTEGRAEN,INE984B01023,1x,,
1506,MAHACORP,INE272E01027,1x,,
1507,DOLATALGO,INE966A01022,5x,5x,5x
1508,SKYLMILAR,INE178E01026,1x,,
1509,BIMETAL,INE469A01019,1x,,
1510,AQFINTECH,INE598D01027,1x,,
1511,IFBIND,INE559A01017,1x,,
1512,SINGER,INE638A01035,1x,,
1513,SNL,INE568F01017,1x,,
1514,WPIL,INE765D01022,1x,,
1515,HINDHARD,INE724D01011,1x,,
1516,TRITONV,INE440G01017,1x,,
1517,PRAKASH,INE603A01013,5x,5x,5x
1518,STANROS,INE441L01015,1x,,
1519,KANANIIND,INE879E01037,1x,,
1520,GCKL,INE403B01016,1x,,
1521,ARIHANTSUP,INE643K01018,5x,5x,5x
1522,AMNPLST,INE275D01022,1x,,
1523,ANUHPHR,INE489G01022,1x,,
1524,MODISONLTD,INE737D01021,1x,,
1525,JAYCH,INE693E01016,1x,,
1526,KEMP,INE060E01018,1x,,
1527,NITTAGELA,INE265B01019,1x,,
1528,AMAL,INE841D01013,1x,,
1529,POLYCHEM,INE752B01024,1x,,
1530,ULTRAMAR,INE405A01021,1x,,
1531,TRANSPEK,INE687A01016,1x,,
1532,MYSORPETRO,INE741A01011,1x,,
1533,TUTIALKA,INE400A01014,1x,,
1534,TANFACIND,INE639B01015,1x,,
1535,MAKERSL,INE987A01010,1x,,
1536,BLUECHIPT,INE472D01017,1x,,
1537,JAGAJITIND,INE574A01016,1x,,
1538,KESARENT,INE133B01019,1x,,
1539,WALCHANNAG,INE711A01022,5x,5x,5x
1540,KFBL,INE991B01010,1x,,
1541,OLYOI,INE286E01019,1x,,
1542,MLKFOOD,INE588G01021,1x,,
1543,POLSON,INE339F01021,1x,,
1544,ORIBEVER,INE247F01018,1x,,
1545,TGVSL,INE284B01028,1x,,
1546,LIMECHM,INE891G01011,1x,,
1547,MCCHRLS-B,INE435D01014,1x,,
1548,ADDIND,INE757C01021,1x,,
1549,PIONRINV,INE746D01014,1x,,
1550,KIDUJA,INE845A01010,1x,,
1551,GUJHOTE,INE621C01011,1x,,
1552,RASRESOR,INE651D01016,1x,,
1553,PARMCOS-B,INE143I01013,1x,,
1554,JINDHOT,INE726D01016,1x,,
1555,BNALTD,INE489D01011,1x,,
1556,HAWKINCOOK,INE979B01015,1x,,
1557,WARRENTEA,INE712A01012,1x,,
1558,NEAGI,INE605D01012,1x,,
1559,ISTLTD,INE684B01029,1x,,
1560,SMIFS,INE641A01013,1x,,
1561,IRONWOOD,INE791H01011,1x,,
1562,MSRINDIA,INE331L01026,1x,,
1563,PANCARBON,INE013E01017,1x,,
1564,FINKURVE,INE734I01027,1x,,
1565,RUCHINFRA,INE413B01023,1x,,
1566,VOLLF,INE763D01019,1x,,
1567,NETLINK,INE040F01033,1x,,
1568,LANCORHOL,INE572G01025,1x,,
1569,INDINFO,INE300B01022,1x,,
1570,BANASFN,INE521L01030,1x,,
1571,VISAKAIND,INE392A01021,1x,,
1572,INDAG,INE802D01023,1x,,
1573,MMRUBBR-B,INE159E01026,1x,,
1574,BENARAS,INE664D01019,1x,,
1575,BOMOXY-B1,INE01TL01014,1x,,
1576,CRAVATEX,INE145E01017,1x,,
1577,EMPIND,INE515H01014,1x,,
1578,GARWAMAR,INE925D01014,1x,,
1579,GOACARBON,INE426D01013,5x,5x,5x
1580,HARDCAS,INE722D01015,1x,,
1581,MODRNSH,INE370A01019,1x,,
1582,HINDMILL,INE832D01020,1x,,
1583,SWASTIVI,INE804A01025,1x,,
1584,MADHUSE,INE856D01011,1x,,
1585,PREMCAP,INE946K01023,1x,,
1586,JINDRILL,INE742C01031,5x,5x,5x
1587,SAKTHIFIN,INE302E01014,1x,,
1588,ANJANIFOODS,INE096I01021,1x,,
1589,CHOLAFIN,INE121A08PJ0,5x,5x,5x
1590,INDCEMCAP,INE429D01017,1x,,
1591,INTRGLB,INE661M01016,1x,,
1592,SHRISTI,INE472C01027,1x,,
1593,CREST,INE559D01011,5x,5x,5x
1594,DHARFIN,INE899D01011,1x,,
1595,ALEXANDER,INE191N01012,1x,,
1596,INDBANK,INE841B01017,1x,,
1597,CAPTRUST,INE707C01018,1x,,
1598,VIVOBIOT,INE380K01017,1x,,
1599,VEERHEALTH,INE882C01035,1x,,
1600,PANINDIAC,INE376A01032,1x,,
1601,GSBFIN,INE777C01011,1x,,
1602,MORARKFI,INE367A01015,1x,,
1603,MONARCH,INE903D01011,5x,5x,5x
1604,TIMESGTY,INE289C01025,1x,,
1605,LIBORDFIN,INE212B01011,1x,,
1606,YASHMGM,INE216B01012,1x,,
1607,FEDDERSHOL,INE417D01020,1x,,
1608,SAMBHAAV,INE699B01027,1x,,
1609,SUGALDAM,INE309D01011,1x,,
1610,NETTLINX,INE027D01019,1x,,
1611,SCANSTL,INE099G01011,1x,,
1612,MATHEWE,INE963B01019,1x,,
1613,AJCON,INE759C01019,1x,,
1614,CHRTEDCA,INE953B01010,1x,,
1615,STANCAP,INE625D01028,1x,,
1616,YOGI,INE290E01011,1x,,
1617,CUBIFIN,INE717D01023,1x,,
1618,RELICTEC,INE452B01013,1x,,
1619,NIMBSPROJ,INE875B01015,1x,,
1620,VIPULLTD,INE946H01037,1x,,
1621,SEVENHILL,INE518D01025,1x,,
1622,AASTAFIN,INE819K01014,1x,,
1623,EFCIL,INE886D01026,1x,,
1624,ZSARACOM,INE967G01019,1x,,
1625,LUHARUKA,INE195E01020,1x,,
1626,VISVEN,INE762D01011,1x,,
1627,SAICOM,INE092G01024,1x,,
1628,ABANSENT,INE365O01028,1x,,
1629,PRISMMEDI,INE730E01016,1x,,
1630,JAICORPLTD,INE070D01027,5x,5x,5x
1631,ASHCAP,INE894A01026,1x,,
1632,SVARTCORP,INE895A01023,1x,,
1633,MMWL,INE200D01020,1x,,
1634,BHAGYANGR,INE458B01036,1x,,
1635,ARAVALIS,INE068C01015,1x,,
1636,CRESSAN,INE716D01033,1x,,
1637,SHARDUL,INE037B01012,1x,,
1638,NIRAVCOM,INE242B01018,1x,,
1639,APOLLOFI,INE412D01013,1x,,
1640,ENBETRD,INE993I01011,1x,,
1641,GANONPRO,INE162L01017,1x,,
1642,SHRJAGP,INE564J01026,1x,,
1643,LLOYDSENT,INE080I01025,5x,5x,5x
1644,DHANCOT,INE977F01010,1x,,
1645,GARNETINT,INE590B01010,1x,,
1646,KOHINOOR,INE080B01012,1x,,
