EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,SM_FREEZE_QTY,
BSE,I,52,NA,INDEX,52,BSEPBI,BSEPBI,BSE Private Banks Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,53,NA,INDEX,53,ESG100,ESG100,BSE 100 ESG,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,54,NA,INDEX,54,LCTMCI,LCTMCI,BSE 100 LargeCap TMC Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,55,NA,INDEX,55,LMI250,LMI250,BSE 250 Large Mid,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,56,NA,INDEX,56,MID150,MID150,BSE 150 MidCap,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,57,NA,INDEX,57,MSL400,MSL400,BSE 400 Mid Small,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,65,NA,INDEX,65,BSE100,BSE100,BSE 100,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,66,NA,INDEX,66,BSE200,BSE200,BSE 200,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,67,NA,INDEX,67,BSE500,BSE500,BSE 500,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,68,NA,INDEX,68,AUTO,AUTO,BSE Auto,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,69,NA,INDEX,69,BANKEX,BANKEX,BSE BANKEX,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,70,NA,INDEX,70,BSE CD,BSE CD,BSE Consumer Durables,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,71,NA,INDEX,71,BSE CG,BSE CG,BSE Capital Goods,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,72,NA,INDEX,72,BSEFMC,BSEFMC,BSE FMCG,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,73,NA,INDEX,73,BSE HC,BSE HC,BSE Healthcare,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,74,NA,INDEX,74,BSE IT,BSE IT,BSE IT,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
